time,sim_t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg
2026-06-27T13:28:41.952361,1782577672.2308807,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:42.061050,1782577672.3388832,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:42.170270,1782577672.4438853,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:42.280156,1782577672.5518875,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:42.388368,1782577672.65989,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:42.496950,1782577672.7678921,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:42.607946,1782577672.8758945,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:42.715857,1782577672.9838967,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:42.824057,1782577673.0888991,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:42.933418,1782577673.1969013,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:43.041899,1782577673.3049037,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:43.150630,1782577673.412906,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:43.259799,1782577673.5209084,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:43.368818,1782577673.6289105,0.0,0.0,2.0397043228149414,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:43.476377,1782577673.7309127,0.0,0.0,2.026744842529297,0.0,0.0,-0.32212555408477783,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:43.585053,1782577673.838915,0.0,0.0,1.9842753410339355,0.0,0.0,-0.42952221632003784,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:43.694299,1782577673.9439173,0.0,0.0,1.938104271888733,0.0,0.0,-0.4461941719055176,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:43.803490,1782577674.0549197,0.0,0.0,1.8881638050079346,0.0,0.0,-0.4530637860298157,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:43.911061,1782577674.159922,0.0,0.0,1.8403288125991821,0.0,0.0,-0.457923948764801,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:44.020763,1782577674.2679243,0.0,0.0,1.7906323671340942,0.0,0.0,-0.4622756838798523,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:44.129941,1782577674.3759265,0.0,0.0,1.7404931783676147,0.0,0.0,-0.4661315679550171,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:44.238124,1782577674.4809287,0.0,0.0,1.691369652748108,0.0,0.0,-0.46946683526039124,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:44.347836,1782577674.588931,0.0,0.0,1.6404979228973389,0.0,0.0,-0.47252020239830017,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:44.457515,1782577674.6969333,0.0,0.0,1.5893151760101318,0.0,0.0,-0.47523340582847595,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:44.574808,1782577674.8019357,0.0,0.0,1.539288878440857,0.0,0.0,-0.477581262588501,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:44.674544,1782577674.9039378,0.0,0.0,1.4904686212539673,0.0,0.0,-0.4796179533004761,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:44.781977,1782577675.00594,0.0,0.0,1.441452145576477,0.0,0.0,-0.4814397394657135,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:44.890594,1782577675.1139424,0.0,0.0,1.3893606662750244,0.0,0.0,-0.4831596314907074,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:45.000365,1782577675.2189445,0.0,0.0,1.3385484218597412,0.0,0.0,-0.48464781045913696,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:45.108647,1782577675.3179467,0.0,0.0,1.2905044555664062,0.0,0.0,-0.4859028458595276,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:45.217397,1782577675.4199488,0.0,0.0,1.2408809661865234,0.0,0.0,-0.4870615005493164,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:45.326214,1782577675.524951,0.0,0.0,1.1896814107894897,0.0,0.0,-0.488126665353775,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:45.435454,1782577675.6299534,0.0,0.0,1.138376235961914,0.0,0.0,-0.4890764057636261,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:45.546697,1782577675.7319555,0.0,0.0,1.0884464979171753,0.0,0.0,-0.48990026116371155,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:45.653944,1782577675.8339577,0.0,0.0,1.0384372472763062,0.0,0.0,-0.4906371831893921,0.0,0.0,0.0003895640909249624
2026-06-27T13:28:45.761556,1782577675.9389598,0.0,0.0,0.9868832230567932,0.0,0.0,-0.49131470918655396,0.0,0.0,0.0003895640909249624
