time,sim_t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg
2026-06-27T14:48:54.524654,1782582366.5180235,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:54.633840,1782582366.6260257,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:54.744593,1782582366.734028,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:54.851367,1782582366.8390303,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:54.961122,1782582366.9380324,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:55.068847,1782582367.0400345,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:55.179138,1782582367.148037,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:55.287502,1782582367.2530391,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:55.394699,1782582367.3610413,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:55.503096,1782582367.4690437,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:55.612200,1782582367.577046,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:55.721399,1782582367.6850483,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:55.828773,1782582367.7900505,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:55.937982,1782582367.895053,0.0,0.0,2.0396859645843506,0.0,0.0,0.0,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:56.047611,1782582368.003055,0.0,0.0,2.038975715637207,0.0,0.0,-0.09387190639972687,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:56.156839,1782582368.1110575,0.0,0.0,2.0068154335021973,0.0,0.0,-0.401381254196167,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:56.264912,1782582368.2160597,0.0,0.0,1.9620386362075806,0.0,0.0,-0.4403745234012604,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:56.373030,1782582368.3210618,0.0,0.0,1.915233850479126,0.0,0.0,-0.4497627019882202,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:56.482652,1782582368.4290643,0.0,0.0,1.8663413524627686,0.0,0.0,-0.4553840756416321,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:56.590864,1782582368.5340664,0.0,0.0,1.8182810544967651,0.0,0.0,-0.4599250555038452,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:56.699146,1782582368.6420686,0.0,0.0,1.7683813571929932,0.0,0.0,-0.46404606103897095,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:56.808345,1782582368.750071,0.0,0.0,1.718061923980713,0.0,0.0,-0.46770384907722473,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:56.917551,1782582368.8580732,0.0,0.0,1.6673697233200073,0.0,0.0,-0.47095367312431335,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:57.025678,1782582368.9600756,0.0,0.0,1.6191890239715576,0.0,0.0,-0.4736897945404053,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:57.135892,1782582369.0710778,0.0,0.0,1.5664583444595337,0.0,0.0,-0.47634026408195496,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:57.242979,1782582369.1760802,0.0,0.0,1.5163222551345825,0.0,0.0,-0.47856801748275757,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:57.352700,1782582369.2840824,0.0,0.0,1.464523434638977,0.0,0.0,-0.4806077480316162,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:57.460892,1782582369.3890846,0.0,0.0,1.4139641523361206,0.0,0.0,-0.4823726415634155,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:57.569926,1782582369.497087,0.0,0.0,1.3617777824401855,0.0,0.0,-0.4839886426925659,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:57.679112,1782582369.6020892,0.0,0.0,1.3108837604522705,0.0,0.0,-0.4853869676589966,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:57.789154,1782582369.7100916,0.0,0.0,1.258390188217163,0.0,0.0,-0.48666730523109436,0.0,0.0,0.0003895640909249624
2026-06-27T14:48:57.897287,1782582369.8180938,0.0,0.0,1.2057663202285767,0.0,0.0,-0.487805038690567,0.0,0.0,0.0003895640909249624
