t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.067,1,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.8994650721832,False,0.0,0.0,-0.367286741733551,,,,-60.0,False,,,"{""telemetry"": 0.8, ""graph"": 65.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.42,2,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,EVADIR_DERECHA,0,152.90014628101787,False,0.0,0.0,-0.35734134912490845,,,,-60.38,False,,,"{""telemetry"": 1.7, ""graph"": 217.0}",False,,,,,0.003,3.16,1.0,False,0.0,23.56,1.0,False,0.0,33.44,1.0,False
0.524,3,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.90326593207723,False,0.00016342727758456022,-0.0003253743052482605,-0.3501534163951874,,,,-64.49,False,,,"{""telemetry"": 0.9, ""graph"": 100.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.722,4,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.89797121474544,False,0.007865292020142078,-0.015533052384853363,-0.4057559072971344,,,,-66.67,False,,,"{""telemetry"": 1.8, ""graph"": 97.8}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.938,5,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.90959558352932,False,0.0210653655230999,-0.041282955557107925,-0.3834148943424225,,,,-71.62,False,,,"{""telemetry"": 0.9, ""graph"": 113.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.159,6,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.9263720098638,False,0.034970834851264954,-0.06725431233644485,-0.3632955551147461,,,,-78.55,False,,,"{""telemetry"": 0.8, ""graph"": 134.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.312,7,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.9406693714282,False,0.043050188571214676,-0.0817570611834526,-0.3526473045349121,,,,-83.61,False,,,"{""telemetry"": 0.8, ""graph"": 87.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.51,8,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.95243148326526,False,0.051504846662282944,-0.09657180309295654,-0.3406376242637634,,,,-89.88,False,,,"{""telemetry"": 0.8, ""graph"": 84.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.712,9,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.96162408213485,False,0.0583391934633255,-0.10836714506149292,-0.330313503742218,,,,-95.78,False,,,"{""telemetry"": 1.0, ""graph"": 86.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.919,10,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.96884575353383,False,0.06348200887441635,-0.11721164733171463,-0.3219190835952759,,,,-101.21,False,,,"{""telemetry"": 0.7, ""graph"": 93.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.122,11,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.97437090830175,False,0.06729952991008759,-0.1238226443529129,-0.3150744140148163,,,,-106.24,False,,,"{""telemetry"": 1.2, ""graph"": 96.2}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.314,12,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.9785189044951,False,0.06996209919452667,-0.12850596010684967,-0.3097854554653168,,,,-110.68,False,,,"{""telemetry"": 0.9, ""graph"": 88.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.507,13,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.98171785596904,False,0.07196415215730667,-0.1321086436510086,-0.30532875657081604,,,,-114.92,False,,,"{""telemetry"": 0.8, ""graph"": 81.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.716,14,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.9841176465825,False,0.07350868731737137,-0.13497264683246613,-0.30135220289230347,,,,-118.91,False,,,"{""telemetry"": 0.8, ""graph"": 89.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.923,15,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.98596242108349,False,0.07458589971065521,-0.1370421200990677,-0.29819735884666443,,,,-122.55,False,,,"{""telemetry"": 1.0, ""graph"": 96.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.126,16,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.98734516669046,False,0.07537638396024704,-0.1386263370513916,-0.29547953605651855,,,,-126.16,False,,,"{""telemetry"": 0.8, ""graph"": 99.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.338,17,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.98841810735985,False,0.07593213766813278,-0.13979601860046387,-0.29319748282432556,,,,-129.58,False,,,"{""telemetry"": 1.2, ""graph"": 109.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.547,18,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.98922757285342,False,0.07631935924291611,-0.14065752923488617,-0.29129934310913086,,,,-132.98,False,,,"{""telemetry"": 0.7, ""graph"": 119.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.716,19,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.98985276251562,False,0.0765460729598999,-0.14119355380535126,-0.2899487614631653,,,,-135.77,False,,,"{""telemetry"": 0.8, ""graph"": 88.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.929,20,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.99035285340028,False,0.07674399018287659,-0.1416940987110138,-0.28843384981155396,,,,-138.89,False,,,"{""telemetry"": 0.9, ""graph"": 100.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.12,21,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.99075339607094,False,0.07670553773641586,-0.1421538144350052,-0.2943522036075592,,,,-141.37,False,,,"{""telemetry"": 0.8, ""graph"": 91.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.319,22,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.9691920401056,False,0.0637790709733963,-0.15298683941364288,-0.40402504801750183,,,,-143.73,False,,,"{""telemetry"": 0.9, ""graph"": 90.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.539,23,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.91179560314913,False,0.018280459567904472,-0.18902647495269775,-0.5609161257743835,,,,-146.11,False,,,"{""telemetry"": 0.7, ""graph"": 109.8}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.733,24,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.81805032513788,False,-0.06396862864494324,-0.2508595287799835,-0.7279952764511108,,,,-148.31,False,,,"{""telemetry"": 0.8, ""graph"": 103.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.927,25,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,152.6808043382955,False,-0.18564923107624054,-0.33798059821128845,-0.88670414686203,,,,-150.35,False,,,"{""telemetry"": 1.3, ""graph"": 97.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.159,26,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,GANAR_ALTURA,0,152.5038874741432,False,-0.3770221173763275,-0.46693259477615356,-1.0855518579483032,,,,-152.78,False,,,"{""telemetry"": 0.8, ""graph"": 128.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.337,27,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,152.27852527806095,False,-0.5721502900123596,-0.5923764109611511,-1.228293776512146,,,,-154.78,False,,,"{""telemetry"": 1.3, ""graph"": 106.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.537,28,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,152.04360902127644,False,-0.7934278249740601,-0.7321580648422241,-1.237626552581787,,,,-157.05,False,,,"{""telemetry"": 0.8, ""graph"": 107.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.717,29,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,151.85305626496293,False,-0.9592928886413574,-0.8318705558776855,-1.217105746269226,,,,-159.07,False,,,"{""telemetry"": 1.3, ""graph"": 86.2}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.921,30,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,151.7078020055632,False,-1.092916488647461,-0.9009969830513,-1.202130913734436,,,,-161.26,False,,,"{""telemetry"": 1.2, ""graph"": 89.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.131,31,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,151.61699555469906,False,-1.1745840311050415,-0.9244714975357056,-1.1845687627792358,,,,-163.5,False,,,"{""telemetry"": 1.8, ""graph"": 98.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.333,32,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,151.57580788291477,False,-1.2010002136230469,-0.904329776763916,-1.1656235456466675,,,,-165.61,False,,,"{""telemetry"": 1.2, ""graph"": 100.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.615,33,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,151.58055591714435,False,-1.1860666275024414,-0.8571076393127441,-1.1496933698654175,,,,-167.5,False,,,"{""telemetry"": 1.0, ""graph"": 182.7}",False,,,,,0.0,,0.069,False,0.0,,0.069,False,0.0,,0.069,False
6.738,34,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,151.62476639254817,False,-1.1259982585906982,-0.7731383442878723,-1.1353107690811157,,,,-169.82,False,,,"{""telemetry"": 1.1, ""graph"": 105.8}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.937,35,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,151.69949857107935,False,-1.0402981042861938,-0.6833571791648865,-1.1290361881256104,,,,-171.94,False,,,"{""telemetry"": 1.1, ""graph"": 104.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
