wp_index,wp_label,cycles,duration_s,deliberative_cycles,deliberative_rate,deep_scan_events
0,WP_0_ASCENSO,1207,243.71,722,0.5982,13
1,WP_1_AVENIDA_ESTE,172,34.72,26,0.1512,0
2,WP_2_SUR,353,70.87,78,0.221,1
3,WP_3_SUROESTE,294,58.8,14,0.0476,0
4,WP_4_NOROESTE,357,71.6,54,0.1513,0
5,WP_5_NORTE,290,58.1,0,0.0,0
6,WP_6_RETORNO,166,33.27,0,0.0,0
7,,1,0.0,0,0.0,0
